编号,标题,年份,封面,导演,编剧,主演,类型,上映日期,国家地区,语言,时长,别名,互联网电影数据库,评分,评分人数,五星,四星,三星,两星,一星,标记,简介
1292277,偷香,1996,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1081151410.jpg,贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇,卡洛·切基,剧情,1996/3/29, 意大利 , 英语 ,118, 盗美人 / Dancing by Myself,tt0117737,7.7,17424,20.1,46.6,30.3,2.7,0.4,意大利/贝托鲁奇/爱情/青春/情色/意大利电影/BernardoBertolucci/法国,年轻的露西（丽芙·泰勒 Liv Tyler 饰）带着她母亲自杀后留下的日记，来到了一个小镇上探访母亲往昔的好友，并住在雕塑家格雷森的家中。其实四年前，露西就和母亲来过这里，还认识了一个叫尼古拉的男孩。她曾经被他送上的一封信深深感动，并和他有过美好的初恋时光。如今，格雷斯家中异常热闹，聚集了各路人物，露西美丽的魅力让这里的男人们纷纷动心，其中患有白血病的作家亚历克斯更是难以自拔。尼古拉从国外回来，露西却发现他是个花花公子，枉费当年动了情。此时寻找生父成了露西的心结。她在这段历程中慢慢成熟，并寻获心爱那人。
1292278,巴贝特之宴,1987,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2185363996.jpg,加布里埃尔·阿克谢,卡琳·布里克森,斯特凡·奥德朗,剧情,1987/8/28, 丹麦, 丹麦语 ,102, Babette's Feast / 芭比的盛宴 / 芭贝特的盛宴,tt0092603,8.3,4905,32.6,49.6,16.4,1.1,0.3,丹麦/美食/宗教/丹麦电影/奥斯卡最佳外语片/1987/美食电影/芭贝特的盛宴,19世纪70年代，与世隔绝的丹麦北部的小村庄。一对督信路德教的姐妹花玛蒂娜（比尔吉特·费德施皮尔 Birgitte Federspiel 饰）和菲丽帕（博迪尔·吉尔 Bodil Kjer 饰）平日里深居简出，在做牧师的父亲的引导下，不惜牺牲爱情，全身心地献身于宗教事业。好心的姐妹二人收留了一个由巴黎避乱而来的女子巴贝特（斯蒂芬妮·奥德安 Stéphane Audran 饰）。身世神秘的巴贝特原来是法国餐厅的名厨。巴贝特幸运地获得了法国巨额彩金一万法郎，为了回报这对好心的姐妹，巴贝特决定在两姐妹父亲的忌辰时亲自掌厨，为村民奉上一桌正宗丰盛的法国大餐。\n                                    \n                                　　本片根据丹麦女作家伊萨克·迪纳森的小说改编而成，荣获1988年第60届奥斯卡金像奖最佳外语片大奖，并获得1987年第40届戛纳电影节天主教人道奖，以及1989年第46届金球奖最佳外语片提名。
1292279,成为约翰·马尔科维奇,1999,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1087658057.jpg,斯派克·琼斯,查理·考夫曼,约翰·库萨克,喜剧,1999/10/29, 美国, 英语,112, 傀儡人生(港) / 玩谢麦高维治(港) / 变脑(台) / 成为马可维奇,tt0120601,8.2,42235,33.1,47.8,16.9,1.9,0.4,美国/黑色幽默/奇幻/剧情/科幻/美国电影/1999/SpikeJonze,戈尔（约翰•库萨克 John Cusack 饰倒的木偶艺人，善于操作舞台上傀儡木偶。生活所迫，他进入了一间纽约一间公司从事文件管理工作。这间公司在办公大厦的七楼半，由于它只有半层楼高，所以职员们都只能拱着腰工作。\n                                    \n                                　　正是由于这样，戈尔偶然发现了公司的文件柜后面有一扇门。好奇心驱使下，戈尔进入了这扇门。当戈尔一进入门内，马上便被吸入了其中，并飞越时空进入了著名演员约翰.马尔科维奇的大脑中。他发现现在自己能随意控制约翰.马尔科维奇的目光，并窥探到一切约翰.马尔科维奇的私隐。十五分钟后戈尔自动被弹回了现实中。\n                                    \n                                　　这一发现令戈尔兴奋不已，他决定利用这扇门做一笔大生意。
1292280,第25小时,2002,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2188222232.jpg,斯派克·李,戴维·贝尼奥夫,爱德华·诺顿,犯罪,2002/12/19, 美国, 英语,135, 转捩一刻 / 一线曙光 / 25小时 / 第二十五个小时,tt0307901,7.9,17009,24.4,50,22.6,2.5,0.5,EdwardNorton/美国/犯罪/剧情/美国电影/2002/SpikeLee/爱德华·诺顿,Monty（爱德华·诺顿 Edward Norton 饰）牵着他的狗在纽约散步，白天，他去了他以前就读的学校拜访了他的老友Jacob（菲利普·塞默·霍夫曼 Philip Seymour Hoffman 饰），Jacob在里面当英语老师，课上他的女学生Mary（安娜·帕奎 因 Anna Paquin 饰）非常活跃。而Monty和Jacob的另一个好友Frank（巴里·佩珀 Barry Pepper 饰）则在公司忙碌地工作着。事情的起因是某天的下午，Monty回到家，发现女友Naturalle（罗莎里奥·道森 Rosario Dawson 饰）在家门口等待许久。两人正在浴缸里调情的时候，警察突然来敲他们的家门。Monty藏在沙发里的毒品被发现。因此他被起诉，被判入狱7年。Monty离进监狱只剩下几个小时的时间了，他开始怀疑是不是女友出卖了他。Monty去...
1292286,我的野蛮女友,2001,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p489336497.jpg,郭在容,郭在容,车太贤,喜剧,2001/7/27, 韩国, 英语 ,123, 我的淘气女友 / 猎奇女友 / My Sassy Girl,tt0293715,8.1,319251,31.4,45.9,21.1,1.4,0.2,韩国/爱情/喜剧/搞笑/经典/青春/浪漫/2001,牵牛（车太贤饰）第一次与她（全智贤饰）邂逅，就毫无浪漫感可言。在地铁上她就语出惊人，喝的醉醺醺的她大声训斥不自觉给老人让座的人，吐完之后就软趴趴地倒了下来。善良的牵牛上前接住，于是就只好背着她到旅馆投宿了。但是好心不一定有好报，牵牛正在好好洗澡时就被冲进来的警察带走了。\n                                    \n                                　　然而这两个人却从此开始约会了。她很霸道很任性，然而当她用那张可爱的面孔对着你笑时，你也忍不住心软。于是牵牛也心甘情愿地被她折磨。渐渐的，牵牛感觉到她的内心受伤了，他用尽全力去呵护去保护，她仍然缺乏安全感。虽然在一起很快乐也很感动，她却仍然提出了一个难以接受的约定：让我们先分开吧……
1292287,新龙门客栈,1992,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1421018669.jpg,李惠民,徐克,张曼玉,剧情,1992/8/27, 香港 , 汉语普通话 ,88, New Dragon Gate Inn,tt0105859,8.5,233601,40.3,46.3,12.6,0.7,0.1,武侠/香港电影/经典/动作/古装/1992/爱情/剧情,宦官专权的明朝中叶，东厂曹少钦（甄子丹）假造圣旨杀害了忠良杨宇轩，并想斩草除根杀死其后代。侠女邱莫言（林青霞）、江湖义士贺虎等人冒死救出忠良后代后，逃至边关沙漠里的龙门客栈，与杨宇轩部下周淮安（梁家辉）会合。龙门客栈实则黑店，老板娘金镶玉（张曼玉）利用乱世，以美貌和风骚 作诱饵杀人越货聚敛钱财，但她却为英俊潇洒的周淮安动了真心。为了摸清潜藏于龙门客栈中的出关暗道，周淮安将计就计，答应与金镶玉成亲。\n                                    \n                                　　洞房花烛夜，楼上的周淮安与金镶玉各怀心事暗中较劲，楼下的邱莫言、贺虎等人也与东厂一众“走狗”展开了明争暗斗，战事一触即发。
1292288,公民凯恩,1941,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1474928139.jpg,奥逊·威尔斯,赫尔曼·曼凯维奇,奥逊·威尔斯,剧情,1941/9/5, 美国, 英语 ,119, 大国民(港/台),tt0033467,8.6,58590,46.2,39.2,12.8,1.3,0.4,美国/经典/传记/公民凯恩/黑白/美国电影/OrsonWelles/1941,美国报业大亨凯恩（奥森•韦尔斯）在桑拿都庄园中留下“玫瑰花蕾”的“遗言”死去后，一位青年记者受媒体的委托调查这四个字的含义，遂即，他走访了凯恩生前的同事好友，从报社董事长伯恩斯坦的口中，了解到凯恩的发迹历程以及如何制造舆论使美国卷入1897年的战争中的往事，从利兰的讲述中，凯恩与美国总统的侄女爱米丽的婚姻、与第二任妻子（歌手）苏珊的复杂关系及在总统竞选中的失败等等也被他一一所知。\n                                    \n                                　　听过大量的讲述后，该记者又去图书馆查阅了有关凯恩的详尽资料，凯恩更多的一面，青年时代的经历及与母亲的关系也被他知晓，然而，“玫瑰花蕾”四字的含义，他仍不得而知。
1292289,心动,1999,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p482119068.jpg,张艾嘉,关皓月,金城武,爱情,1999/9/23, 香港 , 粤语 ,115, Sam Dung / Tempting Heart,tt0215240,8.2,65350,32.7,46.4,19.3,1.4,0.2,爱情/香港/青春/台湾/文艺/1999/经典/成长,女导演Cheryl（张艾嘉 饰）跟编剧商量准备开拍一部关于初恋的爱情故事，她决定把故事时间订在1977年，那时候的女主角小柔（梁咏琪 饰）只有17岁，在舞会上遇到了男主角浩君（金城武 饰）二人一见钟情，很快他们便陷入了热恋之中。小柔有一个好朋友叫陈莉（莫文蔚 饰），小柔除了跟她诉说心事以为，更是逃过妈妈追问出外过夜的好借口。浩君与小柔的家人很快知道了他们的事，两方家长都要求他们分手了断，伤心欲绝的小柔找到陈莉，原来陈莉一直喜欢小柔，令小柔惊吓不已。\n                                    \n                                　　多年后，浩君与小柔在日本重逢，就算他们各自都有了另一半，但还是阻止不了他们再次走进对方的生活。
1292326,暴力街区,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1542714672.jpg,皮埃尔·莫瑞尔,吕克·贝松,塞瑞尔·拉菲利,动作,2004/11/10, 法国, 法语,84, 暴力特区(台) / B13区 / 13区 / 13th District,tt0414852,8,86592,25.1,52.3,20.9,1.5,0.2,动作/法国/吕克·贝松/暴力/犯罪/跑酷/法国电影/动作片,近未来，法国巴黎黑势力横行，以大毒枭塔哈（Bibi Naceri 饰）为首的黑帮更是横行无忌，连当地警方都惧怕三分。软弱的警方无法对抗势力强悍的黑帮，只能用围墙和工事将不法分子所在的区域隔离。在这个被称为“13区”的地方，鱼龙混杂，暗流涌动。年轻的小混混雷托（David Belle 饰）拒绝塔哈的毒品生意，双方发生激烈冲突。雷托原本将塔哈扭送警察局，结果遭到腐败警察的算计。塔哈不仅逍遥法外，雷托的妹妹罗拉（Dany Verissimo 饰）也被大毒枭带走。\n                                    \n                                　　6个月后，身手敏捷的高级督察达米埃（Cyril Raffaelli 饰）接到一宗棘手案件。一个威力强大的中子炸弹在运输途中遭到劫持，落到了塔哈的手里。为了阻止炸弹爆炸，达米埃必须在24小时之内将炸弹追回。他不得不求助于伺机救回妹妹的雷托……
1292328,东邪西毒,1994,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1982176012.jpg,王家卫,王家卫,张国荣,剧情,1994/9/17, 香港 , 粤语 ,100, Ashes of Time,tt0109688,8.6,327306,46.9,38.4,12.8,1.4,0.5,王家卫/香港/东邪西毒/经典/武侠/文艺/爱情/1994,在恋人（张曼玉）负气嫁给兄长的当晚，欧阳锋（张国荣）黯然离开白陀山，走进沙漠某个小镇，成为一名杀手中介人。他的朋友、风流剑客黄药师（梁家辉）每年都来小镇与他畅饮，酒话里有关白陀山的消息令他忘却往事的念想渐次演变成自欺行为。\n                                    \n                                　　黄药师只是表面风流。他迷恋好友“盲武士”（梁朝伟）的妻子桃花（刘嘉玲），后者在丈夫死后，永远地离开了他；而对迷恋他的女人慕容嫣（林青霞），他又不愿兑现曾经随口说出的承诺，这使得慕容嫣迷失于自己的身份中。与欧阳锋构成短暂“买凶杀人”关系的洪七（张学友）、村姑（杨采妮）等人，也都有一段只有他们自己才知、不愿回首的痛苦过往。
1292329,牯岭街少年杀人事件,1991,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p848381236.jpg,杨德昌,杨德昌,张震,剧情,1991/7/27, 台湾, 汉语普通话 ,237, A Brighter Summer Day,tt0101985,8.8,134870,53.5,34.2,10.5,1.3,0.4,杨德昌/台湾/青春/牯岭街少年杀人事件/张震/台湾电影/少年/犯罪,结识小明（杨静怡）前，小四（张震）是典型的乖仔，是父母的希望和兄妹的骄傲（一家人指望他考上名牌大学将来提升全家的社会地位），他有一个喜欢摇滚乐的自称“小猫王（王启赞）”的好友，两人虽会去树林看人幽会，但过的是与周围诸多在“小公园”混的少年人完全两样的生活。\n                                    \n                                　　喜欢上小明后，小四便像跌进一个无底深渊，开始被外界的各种力量牵着鼻子走。新识仰慕对象honey（林鸿铭）猝死，一向敬重的父亲的自尊与精神因为某次事件严重受损，加上将一次次“欺骗玩弄”他感情的小明“看透”，血气方刚又有很强道德感的小四终于走上犯罪的道路，期望用自己的刀结束事件的根源。但小四不知的是，他眼中的根源只是这条食物链中微不足道的一环。
1292330,恋恋风尘,1986,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p743473590.jpg,侯孝贤,朱天文,李天禄,剧情,1987/9/13, 台湾, 汉语普通话 ,109, Dust in the Wind,tt0091406,8.5,44418,40.4,47,11.7,0.7,0.2,侯孝贤/台湾/台湾电影/青春/爱情/恋恋风尘/侯孝賢/1986,初中毕业后，因家境不许，15岁的农村少年阿远（王晶文）放弃学业来台北做事，初尝人生的辛苦，却仍为自己的理想努力着。一年后，阿远青梅竹马的恋人阿云（辛树芬）也来到台北，了解到现实的台北同阿远信里所描述的，是两个世界。可是困顿的环境并没减少他们的快乐，因为他们拥有彼此。\n                                    \n                                　　阿远服兵役时，因为有每日抵达的书信，孤身在台北的阿云起初并没感到有多孤独。然而日子久了，遥远恋人的纸上诉情总比不过现实生活中鲜活男孩的低声耳语，加上对未来怀有的恐慌，阿云在阿远退伍前选择了嫁作他人妇。伤心虽有，阿远也只能选择抑压。
