编号,标题,年份,封面,导演,编剧,主演,类型,上映日期,国家地区,语言,时长,别名,互联网电影数据库,评分,评分人数,五星,四星,三星,两星,一星,标记,简介
1291543,功夫,2004,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg,周星驰,曾瑾昌,周星驰,动作,2004/9/14, 中国大陆 , 粤语 ,100, 功夫3D / Kung Fu Hustle,tt0373074,8.3,383826,37.9,39.9,19.9,2,0.3,周星驰/喜剧/香港/功夫/动作/香港电影/搞笑/经典,1940年代的上海，自小受尽欺辱的街头混混阿星（周星驰）为了能出人头地，可谓窥见机会的缝隙就往里钻，今次他盯上行动日益猖獗的黑道势力“斧头帮”，想借之大名成就大业。\n                                    \n                                　　阿星假冒“斧头帮”成员试图在一个叫“猪笼城寨”的地方对居民敲诈，不想引来真的“斧头帮”与“猪笼城寨”居民的恩怨。“猪笼城寨”原是藏龙卧虎之处，居民中有许多身怀绝技者（元华、梁小龙等），他们隐藏于此本是为远离江湖恩怨，不想麻烦自动上身，躲都躲不及。而在观战正邪两派的斗争中，阿星逐渐领悟功夫的真谛。
1291544,哈利·波特与阿兹卡班的囚徒,2004,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg,阿方索·卡隆,史蒂夫·克洛夫斯,丹尼尔·雷德克里夫,剧情,2004/5/31, 英国 , 英语,141, 哈利波特3：阿兹卡班的逃犯(港/台) / 哈利·波特与阿兹卡班的逃犯 / 哈3,tt0304141,8.4,233946,38,44.8,16.1,0.9,0.1,哈利波特/魔幻/英国/HarryPotter/美国/奇幻/2004/科幻,哈利（丹尼尔·雷德克里夫）即将在霍格沃兹渡过第三个年头，此时在阿兹塔班却传出恶棍小天狼星（加里·奥德曼）越狱的消息。据说小天狼星正是背叛哈利父母的好友，他的教父，而这次小天狼星越狱似乎正是为了找他。哈利的心里悄悄的滋生了为父母报仇的想法，期待着小天狼星的出现。\n                                    \n                                　　新来的魔法老师卢平（大卫·休里斯）有着桀骜不驯的个性，与哈利关系很好，教了哈利许多实用的黑魔法防御知识。而此时在他的魔法地图上却出现了一个神秘人物，虫尾巴。偶然的机会下，在尖叫棚屋里集齐了哈利父亲当年的所有好友，卢平、虫尾巴、小天狼星，哈利的魔杖直指向小天狼星，但他发现那罪犯看他的眼神里充满了疼爱……
1291545,大鱼,2003,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg,蒂姆·波顿,约翰·奥古斯特,伊万·麦克格雷格,剧情,2003/12/4, 美国, 英语 ,125, 大鱼奇缘(港) / 大智若鱼(台) / 大鱼老爸,tt0319061,8.8,319044,50.7,37.7,10.5,0.8,0.2,亲情/奇幻/美国/TimBurton/童话/魔幻/剧情/美国电影,爱德华（伊万·麦克格雷格 Ewan McGregor 饰）生性热爱自由，成年之后，他选择离开家乡，踏上了环游世界的旅程。一路上，爱德华遇见了各种各样稀奇古怪的角色，经历了无数精彩绝伦的的冒险，而他日后最大的兴趣，就是向他人喋喋不休的重复讲述他的这一段奇幻旅程。\n                                    \n                                　　威尔（比利·克鲁德普 Billy Crudup 饰）是爱德华的儿子，他并不相信父亲所讲述的那些光怪陆离的故事，甚至对此感到无比厌烦。婚后，他同父亲中断了联系，一晃眼就是数年过去。当再次得到爱德华的消息之时，威尔才知道父亲即将不久于人世，他决定去见爱德华最后一面。然而，这一次，威尔终于发现了隐藏在这些故事背后的奥秘和真相。
1291546,霸王别姬,1993,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910813120.jpg,陈凯歌,芦苇,张国荣,剧情,1993/1/1, 中国大陆 , 汉语普通话,171, 再见，我的妾 / Farewell My Concubine,tt0106332,9.6,986028,81.2,16.2,2.3,0.2,0.1,经典/人性/文艺/爱情/人生/同志/剧情/文革,段小楼（张丰毅）与程蝶衣（张国荣）是一对打小一起长大的师兄弟，两人一个演生，一个饰旦，一向配合天衣无缝，尤其一出《霸王别姬》，更是誉满京城，为此，两人约定合演一辈子《霸王别姬》。但两人对戏剧与人生关系的理解有本质不同，段小楼深知戏非人生，程蝶衣则是人戏不分。\n                                    \n                                　　段小楼在认为该成家立业之时迎娶了名妓菊仙（巩俐），致使程蝶衣认定菊仙是可耻的第三者，使段小楼做了叛徒，自此，三人围绕一出《霸王别姬》生出的爱恨情仇战开始随着时代风云的变迁不断升级，终酿成悲剧。
1291548,死亡诗社,1989,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824340.jpg,彼得·威尔,汤姆·舒尔曼,罗宾·威廉姆斯,剧情,1989/6/2, 美国, 英语 ,128, 暴雨骄阳(港) / 春风化雨(台) / 壮志骄阳,tt0097165,9,376716,59.8,32,7.4,0.6,0.2,成长/青春/美国/教育/励志/经典/死亡诗社/RobinWilliams,威尔顿预备学院以其沉稳凝重的教学风格和较高的升学率闻名，作为其毕业班的学生，理想就是升入名校。新学期文学老师约翰·基汀（罗宾·威廉姆斯 饰）的到来如同一阵春风，一反传统名校的严肃刻板。\n                                    \n                                　　基汀带学生们在校史楼内聆听死亡的声音，反思生的意义 ；让男生们在绿茵场上宣读自己的理想；鼓励学生站在课桌上，用新的视角俯瞰世界。老师自由发散式的哲学思维让学生内心产生强烈的共鸣，他们渐渐学会自己思考与求索，勇敢的追问人生的路途，甚至违反门禁，成立死亡诗社，在山洞里击节而歌！\n                                    \n                                　　基汀教授、基汀老师、基汀队长，他的教育宛若春风化雨，润物无声的留在每个人心里…
1291549,放牛班的春天,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg,克里斯托夫·巴拉蒂,乔治·沙普罗,热拉尔·朱尼奥,剧情,2004/3/17, 法国 , 法语,97, 歌声伴我心(港) / 唱诗班男孩 / The Chorus,tt0372824,9.3,657802,67.7,27.9,4.2,0.2,0.1,音乐/法国/成长/教育/经典/温情/剧情/励志,1949年的法国乡村，音乐家克莱门特（杰勒德•尊诺 饰）到了一间外号叫“塘低”的男子寄宿学校当助理教师。学校里的学生大部分都是难缠的问题儿童，体罚在这里司空见惯，学校的校长（弗朗西斯•贝尔兰德 饰）只顾自己的前途，残暴高压。\n                                    \n                                　　性格沉静的克莱门特尝试用自己的方法改善这种状况，他重新创作音乐作品，组织合唱团，决定用音乐的方法来打开学生们封闭的心灵。\n                                    \n                                　　然而，事情并不顺利，克莱门特发现学生皮埃尔•莫安琦（尚•巴堤•莫里耶 饰）拥有非同一般的音乐天赋，但是单亲家庭长大的他，性格异常敏感孤僻，怎样释放皮埃尔的音乐才能，让克莱门特头痛不已；同时，他与皮埃尔母亲的感情也渐渐微妙起来。
1291550,天下无贼,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2191934463.jpg,冯小刚,王刚,刘德华,动作,2004/12/9, 中国大陆 , 汉语普通话,113, A World Without Thieves,tt0439884,7.8,296181,20.5,51.9,25.6,1.7,0.3,冯小刚/刘德华/喜剧/刘若英/葛优/中国电影/中国/大陆,王薄（刘德华 饰）和王丽（刘若英 饰）本是一对最佳贼拍档，但因怀了王薄的孩子，王丽决定收手赎罪，两人产生分歧。在火车站遇到刚刚从城市里挣了一笔钱准备回老家用它盖房子娶媳妇的农村娃子傻根（王宝强 饰）后，王丽被他的单纯打动，决定暗中保护不使他的辛苦钱失窃，王薄却寻思找合适机会下手，但 最终因为“夫妻情深”归入了王丽的阵营。 不料傻根的钱早被以黎叔（葛优 饰）为头目的另一著名扒窃团伙盯上，于是一系列围绕傻根书包里的钞票、在王薄、王丽和黎叔团伙之间展开的强强斗争上演。
1291552,指环王3：王者无敌,2003,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825503.jpg,彼得·杰克逊,弗兰·威尔士,维果·莫腾森,剧情,2003/12/17, 美国 , 英语 ,201, 魔戒三部曲：王者再临(台/港) / 指环王III：王者无敌 / 魔戒3：王者归来 / 指环王3：国,tt0167260,9.1,387800,65.2,27.4,6.8,0.5,0.2,魔幻/史诗/经典/美国/战争/奥斯卡/新西兰/2003,魔幻战争逐渐进入高潮阶段。霍比特人弗拉多（伊利亚·伍德 Elijah Wood 饰）携带着魔戒，与伙伴山姆（Sean Astin 饰）以及狡猾阴暗的咕噜等前往末日山，一路上艰难险阻不断，魔君索伦为阻止魔戒被销毁用尽全力阻挠。另一方面，白袍巫师甘道夫（伊安·麦克莱恩 Ian McKellen 饰）率中土勇士们镇守刚铎首都——白城米那斯提里斯。魔兽大军压境，黑暗与光明的决战即将来临……\n                                    \n                                　　本片是“指环王三部曲”的终结篇，根据英国作家J.R.R.托尔金（J.R.R. Tolkien）同名魔幻巨著《指环王》（The Lord of the Rings）改编，并荣获2004年第76届奥斯卡最佳影片、最佳导演、最佳改编剧本、最佳剪辑、最佳艺术指导、最佳服装设计、最佳化妆、最佳视觉效果、最佳音效、最佳配乐和最佳歌曲等11项大奖。
1291553,青木瓜之味,1993,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825832.jpg,陈英雄,陈英雄,陈女燕溪,剧情,1993/6/8, 越南 , 越南语,104, 番木瓜香 / 青木瓜的滋味 / The Scent of Green Papaya / L'odeur de la papaye verte,tt0107617,7.8,36514,22.1,49.2,25.9,2.4,0.5,越南/陈英雄/文艺/越南电影/爱情/青木瓜之味/唯美/法国,十岁时，梅（阮如琼 饰）被邻居送到西贡一大户人家当女佣。因为长得很像女主人死去的女儿，梅深受女主人的疼爱，但女主人并没因此看到生活的亮色，她的音乐家丈夫时不时就会不做交代外出数日，后来更是消失得再无踪迹。女主人的三个儿子因为整日无所事事，常拿梅寻开心，但慢慢地，他们发现家里的生气，全是由温和善良的梅带来。\n                                    \n                                　　十年转眼而过，梅（陈女燕溪 饰）出落得更具“古典美”，女主人因支持不住家里的开销开始变卖家产，并忍痛将梅送到另一户人家当佣人。新东家是位年轻的钢琴家，他是女主人儿子的朋友，梅在年少初见他时，就曾投下过爱慕的目光，而钢琴家也在同梅的接触中，逐渐感受到她的款款温情。
1291554,歌剧魅影,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910825990.jpg,乔·舒马赫,加斯顿·勒鲁,杰拉德·巴特勒,剧情,2004/12/10, 英国 , 英语 ,143, 歌声魅影(港) / 安德鲁洛伊韦伯之歌剧魅影(台) / 歌剧院幽灵 / 剧院魅影,tt0293508,8.5,118485,41.4,42.1,15,1.3,0.2,音乐剧/爱情/经典/美国/歌剧/音乐/歌舞/2004,巴黎歌剧院合唱团的新人克莉斯汀（艾米•罗苏姆 Emmy Rossum 饰）最近进步神速，全因剧院内的一间古老房间内每晚都会传出一把优美的男声向她传授歌唱技巧。这个良师益友其实是一个人称“剧院魅影”（杰拉德•巴特勒 Gerard Butler 饰）的人，此人因样貌丑陋，自小便被父母抛弃，戴着面具隐居在剧院的地下室。“剧院魅影”内心其实深爱着克莉斯汀。\n                                    \n                                　　一次偶然的机会，克莉斯汀有幸担当一部歌剧的主角。凭借从“剧院魅影”那里学得的丰富的歌唱技巧，克莉斯汀一炮而红，并被年轻英俊的剧院赞助人拉乌尔（帕特里克•威尔逊 Patrick Wilson 饰）看上了。两个年轻人很快堕入了爱河。“剧院魅影”伤透了心，认为是拉乌尔抢走了克莉斯汀，准备上演一出爱情复仇的大戏……
1291555,2046,2004,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910826560.jpg,王家卫,王家卫,梁朝伟,剧情,2004/5/20, 香港 , 粤语 ,129,,tt0212712,7.5,146143,20.1,41.3,33.3,4.5,0.8,王家卫/梁朝伟/香港/爱情/香港电影/王菲/2046/文艺,1966年，从新加坡返回香港想忘掉过去的周慕云（梁朝伟 饰）住进东方酒店的、同他曾经熟悉的数字2046只差一号的2047号房，开始了他的卖文生涯。眼前、曾经在他身边出现过的一个个女人（章子怡、王菲、张曼玉、刘嘉玲等 饰）经过他大脑的过影后，令他对时空产生疑惑，不但忘不了过去，一幕幕往事反而更加挥之不去。\n                                    \n                                　　为了与过去作更好的告别，他将生活的点点滴滴化为文字，写下小说《2046》（说只要搭上了前往2046的列车，人们就可以找回失去的记忆）。
1291556,乡愁,1983,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455329155.jpg,安德烈·塔可夫斯基,安德烈·塔可夫斯基,奥列格·扬科夫斯基,剧情,1983/5/17, 苏联 , 意大利语 ,125, 怀乡 / Nostalghia / Nostalgia,tt0086022,9,15232,61.9,28,7.7,1.4,1,塔可夫斯基/俄罗斯/苏联/意大利/AndreiTarkovsky/电影/文艺/1983,俄国诗人安德烈（奥列格·扬科夫斯基 Oleg Yankovsky 饰）在美丽的女翻译尤金伲亚（多美兹亚娜·佐丹奴 Domiziana Giordano 饰）的陪同下，一同前往意大利寻访一位十八世纪俄国作曲家的生活。他们一起走访充满宗教意象的乡村教堂，在一座有天然温泉的古老小镇停留。 此时他遇见了不被世人理解的疯人多米尼克（厄兰·约瑟夫森 Erland Josephson 饰），村民因为他早些年囚禁家人而认为他神经失常。可安德烈看到了多米尼克疯狂下的深意，并被他所吸引。同时他拒绝了性感的尤金伲亚的示爱。此时的安德烈，游走在支离破碎的现实与超现实的梦境中不能自拔。他对祖国的思念、与家人的分离……种种情愫混杂在一起，彼此纠缠，化为终生的乡愁。\n                                    \n                                　　本片获1983年戛纳电影节最佳导演奖，普通评审团奖，国际影评人费比西奖。
1291557,花样年华,2000,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg,王家卫,王家卫,梁朝伟,剧情,2000/5/20, 香港, 粤语 ,98, In the Mood for Love,tt0118694,8.6,308277,43,43.8,12.3,0.8,0.2,王家卫/梁朝伟/张曼玉/爱情/香港/文艺/花样年华/香港电影,1960年代的香港，报馆编辑周慕云（梁朝伟 饰）与太太搬进一间住户多是上海人的公寓，和某家日资公司的贸易代表陈先生与太太苏丽珍（张曼玉 饰）成了邻居。因为发现各自在外工作的配偶背着他们有了婚外情，周慕云和苏丽珍开始见面商讨未来可能发生的事情以及相应对策。\n                                    \n                                　　起初两人是君子之交淡如水就事谈事，可是日子一日接一日过去后，在周围一帮上海邻居的闲言碎语中，他们发现配偶的事早空出了他们的脑袋，彼此眼里只剩下了对方，而刻意回避已生出的感情的结果，是更加刻骨的相思。
1291558,云上的日子,1995,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2507020671.jpg,米开朗基罗·安东尼奥尼,米开朗基罗·安东尼奥尼,苏菲·玛索,剧情,1995/10/27, 法国 , 英语 ,105, 在云端上的情与欲 / Beyond the Clouds,tt0114086,7.7,53320,21.9,44.4,29.7,3.3,0.6,法国/爱情/情色/意大利/文艺/欧洲/1995/剧情,1，费拿拉小镇，工程师斯瓦诺（Kim Rossi Stuart 饰）邂逅了女教师卡门（Inés Sastre 饰），他们一见钟情，卡门却拒绝了斯瓦诺的吻。当他们三年后再次相遇时，斯瓦诺则在肉欲面前止步；\n                                    \n                                　　2，海滨小城，某导演（John Malkovich 饰）信步游荡时遇到了美丽的女子（Sophie Marceau 苏菲•玛索 饰）。她向导演坦白曾亲手杀害自己的父亲。他们并未因此疏远，反而缱绻缠绵；\n                                    \n                                　　3，巴黎，妻子离开不忠的丈夫，寻找租房时遇到了失去妻子的卡罗（Jean Reno 让•雷诺 饰），他们似乎找到了共通的心绪；\n                                    \n                                　　4，英俊的男孩爱上了一个姑娘（Irène J
1291559,新桥恋人,1991,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p581792602.jpg,莱奥·卡拉克斯,莱奥·卡拉克斯,朱丽叶·比诺什,剧情,1991/10/16, 法国, 法语,125, The Lovers on the Bridge,tt0101318,8.1,30212,30.3,45.6,21.2,2.4,0.5,法国/茱丽叶·比诺什/爱情/法国电影/文艺/JulietteBinoche/新桥恋人/LeosCar,米歇尔（朱丽叶·比诺什 Juliette Binoche 饰）是个富家女，心里却并不幸福。她失恋，患上眼疾，情绪低落之下决定到外面的世界去流浪。她喜欢画画，在街头遇到断了腿的埃里克斯（德尼·拉旺 Denis Lavant 饰），画下了他抽搐的脸。克劳斯是个一无所有的流浪汉，却爱上了米歇尔。两人开始了热恋，流浪中互相取暖互相疗伤。米歇尔的视力慢慢模糊，她的心愿是在失明前看看博物馆的画。满街都贴着米歇尔家人的寻人启事，埃里克斯感到米歇尔即将离他而去，悲伤不已。他用枪打碎自己的手指以宣泄痛苦，疯狂的烧掉寻人通知，却没有留得住一段即将幻灭的感情。然而，米歇尔最后还是提出分手，重新回到她原来生活的世界。后来米希尔终于在飘雪的圣诞夜跟埃里克斯在烟花灿烂的塞纳河上重逢。
1291560,龙猫,1988,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg,宫崎骏,宫崎骏,日高法子,动画,1988/4/16, 日本, 日语,86, 邻居托托罗 / 邻家的豆豆龙 / 隔壁的特特罗 / Tonari no Totoro / My N,tt0096283,9.2,648605,64.3,29.5,5.9,0.3,0.1,日本/动漫/温情/童年/经典/成长/童话/感人,小月的母亲生病住院了，父亲带着她与四岁的妹妹小梅到乡间的居住。她们对那里的环境都感到十分新奇，也发现了很多有趣的事情。她们遇到了很多小精灵，她们来到属于她们的环境中，看到了她们世界中很多的奇怪事物，更与一只大大胖胖的龙猫成为了朋友。龙猫与小精灵们利用他们的神奇力量，为小月与妹妹带来了很多神奇的景观，令她们大开眼界。\n                                    \n                                　　妹妹小梅常常挂念生病中的母亲，嚷着要姐姐带着她去看母亲，但小月拒绝了。小梅竟然自己前往，不料途中迷路了，小月只好寻找她的龙猫及小精灵朋友们帮助。
1291561,千与千寻,2001,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1606727862.jpg,宫崎骏,宫崎骏,柊瑠美,剧情,2001/7/20, 日本, 日语,125, 神隐少女(台) / Spirited Away / A Voyage of Chihiro / S,tt0245429,9.3,978915,69.8,25.6,4.3,0.2,0.1,日本/动画/动漫/经典/成长/温情/人性/吉卜力,千寻和爸爸妈妈一同驱车前往新家，在郊外的小路上不慎进入了神秘的隧道——他们去到了另外一个诡异世界—一个中世纪的小镇。远处飘来食物的香味，爸爸妈妈大快朵颐，孰料之后变成了猪！这时小镇上渐渐来了许多样子古怪、半透明的人。\n                                    \n                                　　千寻仓皇逃出，一个叫小白的人救了他，喂了她阻止身体消 失的药，并且告诉她怎样去找锅炉爷爷以及汤婆婆，而且必须获得一份工作才能不被魔法变成别的东西。\n                                    \n                                　　千寻在小白的帮助下幸运地获得了一份在浴池打杂的工作。渐渐她不再被那些怪模怪样的人吓倒，并从小玲那儿知道了小白是凶恶的汤婆婆的弟子。\n                                    \n                                　　一次，千寻发现小白被一群白色飞舞的纸人打伤，为了救受伤的小白，她用河神送给她
1291562,黑暗中的舞者,2000,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910831341.jpg,拉斯·冯·提尔,拉斯·冯·提尔,比约克,剧情,2000/9/8, 丹麦 , 英语,140, 在黑暗中漫舞(台) / 天黑黑(港),tt0168629,8.2,67615,41,37.3,16.3,3.6,1.8,黑暗中的舞者/音乐/丹麦/比约克/人性/经典/剧情/文艺,在美国某个乡村工厂做工的捷克移民塞尔玛（比约克）天性善良，因患有先天性疾病，她的视线正日趋模糊。为了不让遗传了该病的儿子也将宿命继承，塞尔玛每日做工都很辛苦，不知情的好友兼同事林达（凯萨琳•丹妮芙）因心疼而好言相劝时，她总是报一微笑，因为她还有另一个纯粹属于音乐的世界，其间的美好与安静，足以抵挡现实的心酸与艰难。\n                                    \n                                　　令她欣慰的是，在眼睛要彻底变瞎之前，基本筹齐了儿子手术所需的费用，然而就在此时，意外发生，她的命运被加速推向复杂悲惨的境地。
1291563,十分钟年华老去：小号篇,2002,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p642799654.jpg,陈凯歌,张炭,冯远征,剧情,2002/5/18, 西班牙 , 英语 ,92, 十分大师－小号篇 / 十分钟前：小号响起 / 十分钟，年华老去（上）,tt0304808,8.5,22029,41.7,44.8,12.3,0.9,0.3,短片/短片集/陈凯歌/十分钟年华老去/文艺/百花深处/中国/英国,《十分钟年华老去 大提琴篇》的姊妹篇，由七位知名导演各自执导摄制而成，共同讲述发生在短暂十分钟里的人情冷暖。\n                                    \n                                　　《狗没有地狱》里刑满出狱的男人带着女友一起远走故乡莫斯科，是坚贞的爱情与灵魂的回归；《生命线》中由呱呱坠地的新生儿讲起，平静安详；《几千年前》讲述的是现代文明带给原始部落的冲击跟入侵；《国际组织·拖车·夜晚》借休息的女演员视角，透视着大千世界里的形形色色；《距离托那12英里》是挣扎在生死线上的宝贵十分钟；《我们将被掠夺》发生在戈尔竞选总统失败的最后十分钟里；《百花深处》向我们讲述一段“模拟搬家”的荒唐闹剧。
1291564,十分钟年华老去：大提琴篇,2002,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910831868.jpg,贝纳尔多·贝托鲁奇,贝纳尔多·贝托鲁奇,瓦莱丽亚·布鲁尼·泰德斯基,剧情,2002/9/3, 英国 , 英语 ,95, 十分大师－大提琴篇 / 十分钟后：提琴魅力 / 十分钟，年华老去（下）,tt0318742,8.2,12952,33.4,47.7,17.1,1.4,0.3,短片集/十分钟年华老去/文艺/短片/欧洲电影/大师/英国/欧洲,大师们的命题作文，八位电影大师用各自的手法为我们解读了时间的含义。\n                                    \n                                　　贝纳多•贝托鲁奇在印度寓言中寻找答案，10分钟恋爱、结婚、生子，生活如水；迈克尔•菲吉斯将屏幕分成四块，让灵魂回望10分钟，把楼梯作为生死通道；伊利•曼佐的镜头下，老去的电影明星回顾黑白电影的片段，10分钟，已是好几个人生；......最后，让•吕克•戈达尔选择了10个“最后的几分钟”，试图告诉人们时间的真相，也让人思索，时间的几分钟会是什么样子？
1291565,疯狂约会美丽都,2003,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p649728270.jpg,希尔万·肖默,希尔万·肖默,Béatrice,喜剧,2003/6/11, 法国 , 法语 ,80, 佳丽村三姊妹(台) / 美丽城三重唱 / The Triplets of Belleville,tt0286244,8.7,58726,49.9,37.4,11.3,1,0.3,动画/法国/法国动画/疯狂约会美丽都/法国电影/动画片/2003/欧洲,查宾是一个孤独的孩子，从小失去双亲的他每天跟苏沙婆婆相依为命。男孩有点自闭，喜欢跟小狗布鲁诺说话，喜欢独自骑单车。美丽都三姊妹的歌声陪伴他们过着平静日子。终于，婆婆看出了查宾单车方面的天分，要把他培养成才，于是风雨不改的陪孩子训练。\n                                    \n                                　　查宾终于可以参加环法自行车大赛了。然而却因为黑手党要控制赛果而出了意外，查宾和其他两个选手被歹徒挟持到了美丽都。婆婆奋不顾身，带着布鲁诺坐上颠簸的小船，前往搭救她的孙子。在流落他乡的街头，婆婆遇上了美丽都三姐妹，她们一起投入到拯救小查宾的队伍当中。
1291566,攻壳机动队2：无罪,2004,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1910832189.jpg,押井守,押井守,田中敦子,剧情,2004/3/6, 日本, 日语 ,100, Ghost in the Shell 2: Innocence,tt0347246,9.1,41069,63,28.7,7.3,0.7,0.3,押井守/动画/科幻/日本/攻壳机动队/日本动画/动漫/2004,草薙素子之后，巴特与侦探出身的陀古萨结为搭档。近期发生多起机器人偶杀害主人继而自杀的事件，由于受害者家属均无公诉，且死者中有政客与公安官员，于是公安9课派出巴特小组调查此案。杀人人偶皆为荒凉地带公司出品的哈德莉机型，应部分顾客要求，该机型同时具备异性玩伴的功能，巴特从荒凉地带公司出货官遇害入手，卷入与黑帮的战斗，期间有人入侵他的大脑，使其自残。\n                                    \n                                　　巴特决定直奔荒凉地带总部，他与陀古萨拜访了择捉岛上的黑客基姆，后者布下系统陷阱，幸有素子提出警告避免陀古萨陷入控制。依靠基姆这条线索，巴特登上了荒凉地带公司设立在海上的工厂船，素子再次降临他的身边，与其并肩作战。
1291568,东京物语,1953,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910832390.jpg,小津安二郎,野田高梧,笠智众,剧情,1953/11/3, 日本, 日语,136, 东京故事 / Tokyo Story,tt0046438,9.2,65265,66.4,27.7,5.3,0.4,0.3,小津安二郎/日本/家庭/日本电影/经典/文艺/1953/剧情,儿女们都大了，各自成家。父亲周吉（笠智众饰）和老伴（东山千荣子饰）要去东京看望他们，老两口带着愉快心情上路。可另一边，还没等他们到大儿子家，孙子就因为爷爷奶奶到来腾地方哭闹不停。老人开始觉得尴尬，大儿子幸一（山村聪饰）在东京当医生，二女儿繁（杉村春子饰）在东京开美容店，二儿媳纪子（原节子饰），小女儿京子（香川京子饰）外，大阪还有三子敬三。\n                                    \n                                　　东京让老人陌生，在儿女家也好不到哪去。大儿子工作繁忙，没时间带他们出去玩。搬到女儿家，依旧每日困守且有矛盾。老两口渐渐也明白儿女们的处境，他们在东京的老友也过得不好。只有守寡的儿媳纪子对老人很是孝顺。之后老人踏上回家的路，前后不过十天……
1291569,大都会,2001,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1910832560.jpg,林太郎,大友克洋,石田太郎,科幻,2001/5/26, 日本, 英语 ,108, Osamu Tezuka's Metoroporisu / Metoroporisu / Metr,tt0293416,8.2,15922,34.5,45,18.7,1.5,0.3,大友克洋/动画/日本/手塚治虫/科幻/日本动画/动漫/电影,大都市梅陀宝丽斯，被称之为本时代进步象征的超级摩天大厦正在举行落成典礼。手握本市实权的RED先生（石田太郎 配音）台上演讲正酣，台下一名黑衣青年男子ROCK（冈田浩晖 配音）却在警备重重下公然拔枪杀人，群众一阵哗然骚乱。目睹此事的日本侦探伴俊作，携外甥剑一（小林桂 配音），开始进行全市的追凶调查。但是ROCK被判明只是射杀了机器人，凶手若无其事的离去了。\n                                    \n                                　　梅陀宝丽斯由先进的地上部分和颓败的地下部分构成二重结构的都市体系，在这个城市生存的人类中间，有从高度发达的机器人世界中受益，享受文明技术优越性的人，也有反之被机器人夺走工作无以糊口的人，还有要求让机器人同样享有人权自由的群众团体。随着调查的深入，实施的真相渐渐浮出水面，机器人和人类最终是一起平等生存，还是一起毁灭……\n                                    \n                                　　本片改编自手冢治虫出版于1949年的同
1291571,指环王1：魔戒再现,2001,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1354436051.jpg,彼得·杰克逊,弗兰·威尔士,伊莱贾·伍德,剧情,2001/12/19, 新西兰 , 英语 ,178, 魔戒首部曲：魔戒现身 / 指环王I：护戒使者 / 魔戒1：护戒联盟,tt0120737,9,407692,58.1,32.4,8.6,0.6,0.2,魔幻/史诗/美国/经典/大片/战争/新西兰/2001,比尔博•巴金斯是100多岁的哈比人，住在故乡夏尔，生性喜欢冒险，在年轻时的一次探险经历中，他从怪物咕噜手中得到了至尊魔戒，这枚戒指是黑暗魔君索伦打造的至尊魔戒，拥有奴役世界的邪恶力量，能够统领其他几枚力量之戒，在3000年前的人类联盟和半兽人大军的战役中，联盟取得了胜利，并得到了至尊魔戒，数千年的辗转后，魔戒落到咕噜手中，被比尔博碰巧得到。\n                                        \n                                    　　因为和魔戒的朝夕相处，比尔博的心性也受到了影响，在他111岁的生日宴会上，他决定把一切都留给侄子佛罗多(伊莱贾•伍德 饰)，继续冒险。\n                                        \n                                    　　比尔博的好朋友灰袍巫师甘道夫（伊恩•麦凯伦 饰）知道至尊魔戒的秘密，同时，黑暗魔君索伦已经知道他的魔戒落在哈比族的手中。索伦正在重新建造要塞巴拉多，集结无数的半兽人，准备以大军 夺取魔戒，并且征服全世界。
